Year,Month,average AQI value,max AQI,min AQI
2002,4,43.2333333333,90,23
2002,5,49.4516129032,122,23
2002,6,46.9333333333,147,16
2002,7,34.6129032258,93,17
2002,8,46.2258064516,154,19
2002,9,60.6,187,16
2002,10,44.0322580645,143,16
2002,11,47.9666666667,127,9
2002,12,39.935483871,95,20
2003,1,38.7741935484,74,21
2003,2,41.8928571429,112,20
2003,3,45.935483871,105,19
2003,4,51.8666666667,136,23
2003,5,63.064516129,126,26
2003,6,43.6333333333,143,15
2003,7,29.6774193548,56,16
2003,8,35.1290322581,119,18
2003,9,61.9,169,17
2003,10,52.2903225806,154,19
2003,11,41.2333333333,74,24
2003,12,45.5161290323,96,29
2004,1,39.8064516129,106,15
2004,2,41.8965517241,74,20
2004,3,50,93,22
2004,4,51.2333333333,115,31
2004,5,42.0322580645,105,21
2004,6,28.9333333333,53,15
2004,7,34.3548387097,105,15
2004,8,44.5161290323,107,16
2004,9,61.2333333333,169,17
2004,10,32.8709677419,67,14
2004,11,42.2,105,19
2004,12,37.1935483871,59,18
2005,1,38.7419354839,82,21
2005,2,44.6071428571,69,26
2005,3,47,71,31
2005,4,61.2,101,37
2005,5,53.1935483871,80,30
2005,6,55.2333333333,90,27
2005,7,46.4193548387,113,18
2005,8,46.2258064516,90,18
2005,9,46.9666666667,96,22
2005,10,53.6774193548,97,23
2005,11,37.9333333333,62,23
2005,12,43.8709677419,63,23
2006,1,44.9677419355,70,32
2006,2,48.3928571429,70,32
2006,3,54.7741935484,105,33
2006,4,54.5,80,34
2006,5,60.2903225806,105,23
2006,6,51.8666666667,87,28
2006,7,36.7741935484,83,20
2006,8,50.7096774194,140,23
2006,9,52.3666666667,147,20
2006,10,45.2258064516,90,19
2006,11,44.8666666667,115,24
2006,12,37.2903225806,61,23
2007,1,35.5806451613,55,21
2007,2,48.1071428571,86,29
2007,3,43.3225806452,71,26
2007,4,53.1333333333,80,31
2007,5,58.5806451613,115,26
2007,6,54.6333333333,93,25
2007,7,50.1612903226,91,30
2007,8,51.2580645161,79,23
2007,9,44.0333333333,126,23
2007,10,49.1935483871,100,27
2007,11,41.7333333333,86,14
2007,12,37.064516129,52,16
2008,1,40.4838709677,191,19
2008,2,42.5517241379,59,30
2008,3,54.4516129032,188,33
2008,4,60.9333333333,108,39
2008,5,57.7096774194,87,28
2008,6,40.5,84,23
2008,7,42.8965517241,78,14
2008,8,45.6451612903,84,23
2008,9,63.68,126,25
2008,10,46.9677419355,129,20
2008,11,42.1,77,25
2008,12,39.3870967742,73,23
2009,1,39.6129032258,64,14
2009,2,44.2857142857,61,32
2009,3,44.4838709677,71,15
2009,4,57.5666666667,77,41
2009,5,66.2258064516,108,41
2009,6,43.9,93,25
2009,7,54.7096774194,83,18
2009,8,41.5806451613,87,19
2009,9,39.4666666667,74,22
2009,10,37.6774193548,66,22
2009,11,40.3333333333,59,23
2009,12,33.6451612903,50,23
2010,1,37.935483871,60,28
2010,2,39.8928571429,59,25
2010,3,46.064516129,65,38
2010,4,54.4666666667,87,31
2010,5,56.1290322581,105,26
2010,6,45.1851851852,93,23
2010,7,34.6,81,13
2010,8,47.1290322581,122,19
2010,9,43.5333333333,108,22
2010,10,60.7419354839,126,32
2010,11,39.5333333333,62,24
2010,12,45.064516129,74,30
2011,1,38.0322580645,50,26
2011,2,42.6071428571,61,31
2011,3,46.6451612903,75,25
2011,4,56.8333333333,115,23
2011,5,62.7419354839,113,24
2011,6,32.2,67,19
2011,7,35.3225806452,71,18
2011,8,41.0322580645,105,19
2011,9,66.8333333333,154,24
2011,10,45.6451612903,80,30
2011,11,38.5,58,19
2011,12,34.4193548387,57,19
2012,1,42.5161290323,102,25
2012,2,37.8965517241,69,21
2012,3,40.8064516129,71,18
2012,4,54.7666666667,80,33
2012,5,47.7741935484,105,24
2012,6,46.6,147,19
2012,7,51.9677419355,121,24
2012,8,47.7096774194,90,24
2012,9,47.4333333333,97,22
2012,10,47.0967741935,130,22
2012,11,44.4666666667,71,33
2012,12,37.9677419355,55,27
2013,1,36.064516129,51,20
2013,2,43.1785714286,56,31
2013,3,50.8709677419,100,36
2013,4,48.2333333333,90,29
2013,5,51.3548387097,77,25
2013,6,48.7666666667,76,20
2013,7,48.064516129,90,22
2013,8,46.6129032258,87,25
2013,9,35.8,84,23
2013,10,38.4516129032,97,23
2013,11,35.3,73,11
2013,12,40.064516129,69,18
2014,1,36.1935483871,63,24
2014,2,39.5357142857,79,27
2014,3,42.1612903226,60,21
2014,4,45.2666666667,74,29
2014,5,49.1935483871,90,33
2014,6,54.7,91,19
2014,7,56.2903225806,81,28
2014,8,47.9032258065,72,28
2014,9,37.3,77,19
2014,10,47.0322580645,105,22
2014,11,36.6666666667,56,22
2014,12,37.8709677419,65,24
2015,1,36.4838709677,89,10
2015,2,38.1428571429,60,20
2015,3,40.2258064516,58,20
2015,4,51.6333333333,97,33
2015,5,59.935483871,112,35
2015,6,40.6,91,23
2015,7,51.935483871,88,18
2015,8,47.7419354839,105,26
2015,9,41.6666666667,67,21
2015,10,48.3225806452,80,23
2015,11,32.9666666667,48,9
2015,12,37.4838709677,71,19
2016,1,35.8709677419,55,26
2016,2,41.0689655172,62,32
2016,3,48.8064516129,93,29
2016,4,55.1,87,33
2016,5,44.7741935484,87,24
2016,6,34.2333333333,66,17
2016,7,29.935483871,82,17
2016,8,29.6129032258,64,19
2016,9,35.2666666667,74,19
2016,10,,,
2016,11,,,
2016,12,,,
