Year,Month,average AQI value,max AQI,min AQI
2001,7,17.0526315789,28,6
2001,8,18.6818181818,31,6
2001,9,21.35,38,8
2001,10,32.7419354839,65,11
2001,11,42.5666666667,83,19
2001,12,46.8387096774,106,15
2002,1,26.6774193548,65,13
2002,2,35.2142857143,71,10
2002,3,41.8387096774,64,18
2002,4,54.9047619048,76,27
2002,5,35.1,58,18
2002,6,27.3,54,9
2002,7,25.7142857143,43,18
2002,8,27.75,64,8
2002,9,20.3333333333,40,8
2002,10,34.4838709677,47,13
2002,11,30.7,75,11
2002,12,35.6451612903,65,14
2003,1,30.8064516129,59,13
2003,2,24.8571428571,77,10
2003,3,56.6451612903,486,9
2003,4,43.35,117,13
2003,5,25.8095238095,57,12
2003,6,18.8076923077,35,11
2003,7,23,61,11
2003,8,17.9047619048,39,8
2003,9,19.5789473684,33,1
2003,10,29.0322580645,53,13
2003,11,23.4,40,15
2003,12,37,89,19
2004,1,51.8064516129,94,23
2004,2,34,55,16
2004,3,26.6774193548,66,10
2004,4,35.6666666667,72,9
2004,5,23.7619047619,44,10
2004,6,21.6,38,10
2004,7,18.25,50,10
2004,8,36.7142857143,121,15
2004,9,15.45,45,4
2004,10,22.6451612903,53,7
2004,11,21.1333333333,55,8
2004,12,31.6774193548,59,17
2005,1,31.7096774194,63,9
2005,2,27.4642857143,63,8
2005,3,32.5806451613,96,9
2005,4,44.25,96,16
2005,5,21.7,35,11
2005,6,19.9,53,8
2005,7,25.5714285714,151,7
2005,8,26.85,96,8
2005,9,12.2105263158,19,1
2005,10,26.7741935484,52,3
2005,11,30.1333333333,60,11
2005,12,26.2580645161,54,9
2006,1,35.7419354839,71,10
2006,2,25.7857142857,74,9
2006,3,30.4516129032,66,8
2006,4,34.85,76,10
2006,5,27.7142857143,62,11
2006,6,17.75,54,6
2006,7,14.4285714286,21,7
2006,8,12.75,28,6
2006,9,15.05,28,4
2006,10,16.5806451613,39,8
2006,11,51.7,97,22
2006,12,30.8064516129,90,11
2007,1,24.6451612903,56,7
2007,2,29.75,63,10
2007,3,27.3548387097,52,3
2007,4,42.2631578947,72,13
2007,5,21.8947368421,44,11
2007,6,19.5909090909,36,1
2007,7,14.9,23,9
2007,8,15.9444444444,23,8
2007,9,14.2,23,3
2007,10,22.5806451613,60,7
2007,11,24.5,71,8
2007,12,34.9032258065,135,15
2008,1,30.1290322581,57,15
2008,2,28.4482758621,62,9
2008,3,26.7741935484,76,8
2008,4,32.8421052632,68,10
2008,5,25.9523809524,48,8
2008,6,18.0476190476,46,6
2008,7,15.5,30,7
2008,8,15.9523809524,24,10
2008,9,13.3,25,5
2008,10,22.7419354839,86,7
2008,11,23.5333333333,62,10
2008,12,31.0967741935,72,13
2009,1,42.7741935484,88,10
2009,2,33.8214285714,61,15
2009,3,24.935483871,57,11
2009,4,44.2,70,23
2009,5,32.8064516129,68,11
2009,6,25.4666666667,49,14
2009,7,40.7419354839,88,13
2009,8,28.4838709677,71,10
2009,9,22.4074074074,42,8
2009,10,32.1612903226,105,9
2009,11,43,73,14
2009,12,46.4516129032,89,11
2010,1,52.6129032258,91,24
2010,2,30.7857142857,59,14
2010,3,28.6451612903,45,11
2010,4,45.1,101,29
2010,5,39.0967741935,64,30
2010,6,27.6,35,18
2010,7,22.8387096774,35,10
2010,8,20.064516129,30,12
2010,9,34.2666666667,127,19
2010,10,34.3548387097,54,18
2010,11,32.4,76,11
2010,12,59,97,13
2011,1,42,75,11
2011,2,32.7142857143,66,9
2011,3,40.3870967742,61,22
2011,4,47.9,88,31
2011,5,38.4516129032,46,29
2011,6,28.8666666667,40,22
2011,7,22.4838709677,31,14
2011,8,18.6774193548,44,8
2011,9,19.8,28,14
2011,10,27.3225806452,55,13
2011,11,36.0666666667,78,12
2011,12,28.5483870968,48,17
2012,1,51.0322580645,100,23
2012,2,27.4827586207,39,18
2012,3,33.0322580645,48,25
2012,4,54.9666666667,81,32
2012,5,35.0967741935,44,19
2012,6,26.9,40,17
2012,7,22.1935483871,43,12
2012,8,20.8387096774,31,13
2012,9,21.4,36,12
2012,10,42.3870967742,83,13
2012,11,58.6,89,15
2012,12,47.2903225806,93,8
2013,1,31.9032258065,151,6
2013,2,20.5,51,7
2013,3,29.9032258065,63,8
2013,4,43.9,72,12
2013,5,37.6129032258,83,10
2013,6,36.4,59,17
2013,7,25,38,9
2013,8,17.4838709677,25,10
2013,9,17,44,8
2013,10,20.7419354839,48,5
2013,11,33.0666666667,68,10
2013,12,39.4516129032,79,12
2014,1,26.0322580645,101,4
2014,2,44.3928571429,122,13
2014,3,41.064516129,86,8
2014,4,51.8333333333,80,20
2014,5,45,152,8
2014,6,17.0666666667,36,8
2014,7,18,35,6
2014,8,17.1,35,8
2014,9,18,38,8
2014,10,40.1612903226,77,14
2014,11,52.5,100,22
2014,12,37.2258064516,65,8
2015,1,42.5483870968,74,8
2015,2,40.4285714286,70,8
2015,3,40.064516129,58,13
2015,4,22.5,42,9
2015,5,20.8571428571,35,13
2015,6,40.2068965517,76,21
2015,7,22.5483870968,50,13
2015,8,22.1935483871,43,8
2015,9,18.2,35,6
2015,10,29.064516129,68,12
2015,11,33.1666666667,71,9
2015,12,42.935483871,76,15
2016,1,35.935483871,64,9
2016,2,26.6896551724,59,8
2016,3,40.064516129,78,4
2016,4,49.1333333333,81,26
2016,5,23.4230769231,37,11
2016,6,15.6,27,6
2016,7,22.5806451613,52,7
2016,8,24.7419354839,43,10
2016,9,23.6333333333,51,5
2016,10,,,
2016,11,,,
2016,12,,,
