Year,Month,average AQI value,max AQI,min AQI
2007,6,62.9,115,28
2007,7,53.8387096774,77,35
2007,8,68.6451612903,122,39
2007,9,46.7,100,21
2007,10,35.6451612903,61,19
2007,11,17.0333333333,68,1
2007,12,29.3548387097,62,1
2008,1,38.0967741935,60,18
2008,2,41.7037037037,68,22
2008,3,44.3225806452,78,25
2008,4,48.2,136,28
2008,5,53.1612903226,90,30
2008,6,78.7,170,47
2008,7,55.5806451613,143,22
2008,8,52.5806451613,80,24
2008,9,42.08,84,28
2008,10,39,74,21
2008,11,35.1379310345,60,18
2008,12,28.7741935484,40,14
2009,1,32.5,52,15
2009,2,35.3703703704,65,21
2009,3,40.7419354839,64,14
2009,4,51.6666666667,97,36
2009,5,36.5161290323,54,20
2009,6,49.2333333333,80,28
2009,7,51.5161290323,77,29
2009,8,46.7741935484,80,29
2009,9,34.6,55,21
2009,10,29.6129032258,45,13
2009,11,30.6551724138,62,3
2009,12,28.7741935484,48,15
2010,1,32.8709677419,66,16
2010,2,31.4642857143,58,20
2010,3,44.3870967742,98,13
2010,4,56.1333333333,105,37
2010,5,47,80,29
2010,6,57.8666666667,100,29
2010,7,56.2258064516,133,35
2010,8,47.3548387097,105,29
2010,9,48.3333333333,87,19
2010,10,39.8709677419,74,22
2010,11,26.1666666667,58,9
2010,12,25.8064516129,67,3
2011,1,36.1666666667,52,15
2011,2,30.6785714286,52,17
2011,3,33.9,56,15
2011,4,44.4333333333,67,21
2011,5,50.6451612903,172,31
2011,6,67.8333333333,100,42
2011,7,60.9677419355,112,30
2011,8,49.88,71,30
2011,9,34.8333333333,60,14
2011,10,35.2903225806,54,21
2011,11,23.9,44,11
2011,12,29.5483870968,51,11
2012,1,31.3225806452,66,17
2012,2,35.8620689655,52,20
2012,3,34.7419354839,54,19
2012,4,44.7,64,28
2012,5,39.935483871,64,20
2012,6,52.0333333333,140,28
2012,7,50.8387096774,100,23
2012,8,36.7096774194,59,19
2012,9,34.7333333333,46,23
2012,10,30.8214285714,53,12
2012,11,38.88,62,21
2012,12,30.6451612903,63,10
2013,1,35.3548387097,67,10
2013,2,30.9285714286,55,12
2013,3,33,66,13
2013,4,47,90,25
2013,5,43.9677419355,90,25
2013,6,37.6,74,17
2013,7,35.1612903226,71,17
2013,8,42.9032258065,71,27
2013,9,49.3333333333,68,37
2013,10,52.4838709677,69,36
2013,11,50.2333333333,63,36
2013,12,42.1290322581,63,1
2014,1,47.4827586207,61,7
2014,2,54.5555555556,73,29
2014,3,35.2857142857,67,6
2014,4,51.5,97,28
2014,5,47.9032258065,67,30
2014,6,45.4666666667,64,24
2014,7,39.5806451613,59,23
2014,8,38.5806451613,56,16
2014,9,32.2666666667,58,19
2014,10,36.1290322581,44,25
2014,11,40.3,55,0
2014,12,41.7741935484,57,10
2015,1,37.2258064516,64,17
2015,2,36.5769230769,63,14
2015,3,31.0416666667,53,14
2015,4,43.1666666667,54,30
2015,5,43.1935483871,71,25
2015,6,41.5666666667,67,18
2015,7,42,67,28
2015,8,41.4838709677,58,22
2015,9,32.7666666667,60,6
2015,10,37.9615384615,53,25
2015,11,34.5333333333,60,0
2015,12,29.4193548387,59,7
2016,1,6.1666666667,10,3
2016,2,7.75,11,6
2016,3,12.5,18,8
2016,4,45.5333333333,97,33
2016,5,38.7741935484,64,20
2016,6,42.8,87,0
2016,7,37.3225806452,48,0
2016,8,31.6774193548,58,13
2016,9,31.5217391304,47,21
2016,10,35.0416666667,44,26
2016,11,,,
2016,12,,,
